City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
126,Doha,QA,25.2867,51.5333,66.18,82,5,3.44,clear sky,2022-02-26 05:00:11
127,Ponta Do Sol,PT,32.6667,-17.1,60.06,80,52,8.72,broken clouds,2022-02-26 05:00:28
128,Mahebourg,MU,-20.4081,57.7,84.25,81,31,12.08,light rain,2022-02-26 05:00:37
129,Saint George,US,37.1041,-113.5841,38.62,39,0,5.01,clear sky,2022-02-26 04:58:23
130,Dikson,RU,73.5069,80.5464,2.14,92,100,6.51,overcast clouds,2022-02-26 05:00:40
131,Alofi,NU,-19.0595,-169.9187,82.04,78,96,14.5,light rain,2022-02-26 05:00:40
132,Bethel,US,41.3712,-73.414,26.94,87,17,7.76,few clouds,2022-02-26 05:00:41
133,Kostroma,RU,57.7708,40.9344,28.11,95,100,10.98,light snow,2022-02-26 04:59:53
134,Cockburn Town,TC,21.4612,-71.1419,77.23,76,1,17.45,clear sky,2022-02-26 04:56:49
135,Reoti,IN,25.85,84.3833,78.17,39,0,5.08,clear sky,2022-02-26 05:00:42
136,Jaque,PA,7.5175,-78.1703,76.05,86,76,5.77,broken clouds,2022-02-26 05:00:43
137,Ambilobe,MG,-13.2,49.05,79.36,87,100,3.76,overcast clouds,2022-02-26 05:00:43
138,Baturaja,ID,-4.1333,104.1667,87.35,54,98,3.51,overcast clouds,2022-02-26 05:00:44
139,Mansa,IN,29.9833,75.3833,63.54,71,66,12.35,broken clouds,2022-02-26 05:00:45
140,Fare,PF,-16.7,-151.0167,81.99,74,44,16.73,scattered clouds,2022-02-26 05:00:46
141,Stornoway,GB,58.2093,-6.3865,46.92,90,100,35.68,overcast clouds,2022-02-26 05:00:48
142,Kalemie,CD,-5.9475,29.1947,69.91,89,100,2.68,light rain,2022-02-26 05:00:49
143,Iqaluit,CA,63.7506,-68.5145,-24.21,91,100,8.21,overcast clouds,2022-02-26 05:00:49
144,Agbor,NG,6.2518,6.1934,74.32,97,87,3.0,overcast clouds,2022-02-26 05:00:50
145,Batagay,RU,67.6333,134.6333,-3.03,87,100,4.18,overcast clouds,2022-02-26 05:00:50
146,Port Hedland,AU,-20.3167,118.5667,95.05,63,4,11.5,clear sky,2022-02-26 05:00:50
147,Ahipara,NZ,-35.1667,173.1667,68.79,72,33,6.89,scattered clouds,2022-02-26 05:00:51
148,Cidreira,BR,-30.1811,-50.2056,74.53,94,36,6.35,scattered clouds,2022-02-26 05:00:51
149,Cabo San Lucas,MX,22.8909,-109.9124,69.51,72,78,3.0,broken clouds,2022-02-26 04:59:16
150,Saskylakh,RU,71.9167,114.0833,-14.04,96,46,4.61,scattered clouds,2022-02-26 05:00:52
151,Basco,PH,20.4487,121.9702,72.0,73,96,16.37,overcast clouds,2022-02-26 05:00:52
152,Ryotsu,JP,38.0833,138.4333,46.62,74,60,22.53,broken clouds,2022-02-26 05:00:52
153,Asau,RO,46.4333,26.4,38.95,80,98,3.78,overcast clouds,2022-02-26 05:00:53
154,Viransehir,TR,37.2353,39.7631,46.67,75,94,5.41,overcast clouds,2022-02-26 05:00:53
