City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
47,Mataura,NZ,2022-02-26 03:46:13,-46.1927,168.8643,55.47,40,5,7.96
48,Atuona,PF,2022-02-26 03:44:24,-9.8,-139.0333,78.82,76,15,19.19
49,Buraydah,SA,2022-02-26 03:42:19,26.326,43.975,55.85,66,0,10.0
50,Barrow,US,2022-02-26 03:46:13,71.2906,-156.7887,3.22,78,100,35.68
51,Kloulklubed,PW,2022-02-26 03:46:13,7.0419,134.2556,84.7,76,73,20.36
52,Bredasdorp,ZA,2022-02-26 03:46:14,-34.5322,20.0403,67.32,88,12,1.14
53,Mandera,KE,2022-02-26 03:46:14,3.9366,41.867,78.4,64,8,7.38
54,Usinsk,RU,2022-02-26 03:46:14,65.9939,57.5281,26.62,94,100,20.62
55,Kattivakkam,IN,2022-02-26 03:46:15,13.2167,80.3167,84.07,72,85,6.89
56,Hilo,US,2022-02-26 03:42:09,19.7297,-155.09,75.25,88,15,1.01
57,Kodiak,US,2022-02-26 03:46:15,57.79,-152.4072,40.51,75,100,11.5
58,Ust-Nera,RU,2022-02-26 03:46:16,64.5667,143.2,-0.76,90,100,5.44
59,Erenhot,CN,2022-02-26 03:46:16,43.6475,111.9767,22.17,64,75,13.96
60,Hervey Bay,AU,2022-02-26 03:46:16,-25.2986,152.8535,84.31,85,57,5.01
61,Hasaki,JP,2022-02-26 03:46:17,35.7333,140.8333,55.8,41,1,6.98
62,Pisco,PE,2022-02-26 03:46:17,-13.7,-76.2167,69.85,78,0,2.3
63,Port-Gentil,GA,2022-02-26 03:46:17,-0.7193,8.7815,81.18,82,100,8.16
64,Tarpa,HU,2022-02-26 03:46:18,48.1048,22.5374,39.33,74,100,7.94
65,Lompoc,US,2022-02-26 03:46:18,34.6391,-120.4579,52.11,80,0,15.01
66,Huilong,CN,2022-02-26 03:46:18,31.8111,121.655,59.99,54,1,9.26
67,Haines Junction,CA,2022-02-26 03:46:19,60.7522,-137.5108,35.55,60,100,8.05
68,Honningsvag,NO,2022-02-26 03:46:19,70.9821,25.9704,25.21,62,85,20.58
69,Ahipara,NZ,2022-02-26 03:46:19,-35.1667,173.1667,70.48,66,24,7.56
70,Kozluk,TR,2022-02-26 03:46:20,38.1938,41.4885,37.65,79,86,3.2
71,Port Blair,IN,2022-02-26 03:46:20,11.6667,92.75,84.24,74,40,10.36
72,Pasighat,IN,2022-02-26 03:46:20,28.0667,95.3333,72.19,54,14,1.81
73,Avarua,CK,2022-02-26 03:46:21,-21.2078,-159.775,82.45,83,40,8.05
74,Qaanaaq,GL,2022-02-26 03:46:21,77.484,-69.3632,0.32,55,11,9.28
75,Harper,LR,2022-02-26 03:46:21,4.375,-7.7169,78.35,89,13,7.36
76,Ponta Delgada,PT,2022-02-26 03:46:22,37.7333,-25.6667,60.49,72,40,14.97
77,Nyurba,RU,2022-02-26 03:46:22,63.2842,118.3319,-1.77,90,100,7.65
78,Petropavlovsk-Kamchatskiy,RU,2022-02-26 03:46:22,53.0452,158.6483,28.99,43,75,2.24
79,Woodward,US,2022-02-26 03:46:23,36.4337,-99.3904,22.12,60,0,3.44
80,Saskylakh,RU,2022-02-26 03:46:23,71.9167,114.0833,-15.92,97,34,4.16
81,Lorengau,PG,2022-02-26 03:46:23,-2.0226,147.2712,80.91,80,100,9.95
82,Vaini,TO,2022-02-26 03:46:23,-21.2,-175.2,86.16,79,75,12.66
83,Yeppoon,AU,2022-02-26 03:46:24,-23.1333,150.7333,92.98,77,38,13.65
84,Kilindoni,TZ,2022-02-26 03:46:24,-7.9139,39.6668,80.6,81,94,9.04
85,Cabo San Lucas,MX,2022-02-26 03:46:24,22.8909,-109.9124,69.51,72,73,4.12
86,Yellowknife,CA,2022-02-26 03:46:25,62.456,-114.3525,-7.08,77,20,8.05
87,Oksfjord,NO,2022-02-26 03:46:25,70.2396,22.3479,23.92,87,71,12.28
88,Puerto Ayora,EC,2022-02-26 03:46:25,-0.7393,-90.3518,75.07,87,97,3.78
89,Saldanha,ZA,2022-02-26 03:46:26,-33.0117,17.9442,62.65,95,3,12.17
90,Ulverstone,AU,2022-02-26 03:46:26,-41.15,146.1667,72.28,52,58,10.0
91,Oistins,BB,2022-02-26 03:46:26,13.0667,-59.5333,75.29,83,75,12.66
